	DOID:0050161	DOID:0050539	DOID:0050563	DOID:0050564	DOID:0050565	DOID:0050686	DOID:0050687	DOID:0050700	DOID:0050701	DOID:0050735	DOID:0050736	DOID:0050737	DOID:0050739	DOID:0050753	DOID:0050776	DOID:0050777	DOID:0050828	DOID:0050888	DOID:0050889	DOID:0050950	DOID:0050951	DOID:0060036	DOID:0060037	DOID:0060038	DOID:0060307	DOID:0060308	DOID:0060309	DOID:0060340	DOID:0060564	DOID:0080000	DOID:0080001	DOID:0080005	DOID:0080006	DOID:0080009	DOID:0080012	DOID:0080578	DOID:0081337	DOID:0111910	DOID:0111962	DOID:0112202	DOID:10155	DOID:10273	DOID:10579	DOID:10584	DOID:1059	DOID:10595	DOID:1091	DOID:110	DOID:1100	DOID:114	DOID:12336	DOID:12449	DOID:1247	DOID:1289	DOID:12930	DOID:1342	DOID:1441	DOID:1443	DOID:178	DOID:1826	DOID:1923	DOID:1934	DOID:2115	DOID:2256	DOID:2277	DOID:229	DOID:231	DOID:2355	DOID:2476	DOID:2490	DOID:2531	DOID:2583	DOID:2742	DOID:2786	DOID:305	DOID:3119	DOID:37	DOID:403	DOID:417	DOID:423	DOID:440	DOID:4448	DOID:48	DOID:4961	DOID:5212	DOID:5295	DOID:557	DOID:5614	DOID:5672	DOID:5679	DOID:607	DOID:612	DOID:627	DOID:65	DOID:66	DOID:83	DOID:8466	DOID:870	DOID:9256	DOID:936	DOID:9562	DOID:9799	DOID:9884
GENEPT-MODEL3	0.8241379310344827	0.796875	0.9188034188034188	0.7833333333333333	0.8560250391236307	0.915991156963891	0.7862068965517242	1.0	0.8813104189044039	0.8221561969439728	0.6866666666666666	0.7142690058479532	0.6806650993477931	0.9644886363636364	0.75625	1.0	0.7760416666666667	0.8429878048780488	0.99375	0.8928571428571428	0.8794117647058823	0.9830188679245283	0.8648333333333333	0.8575561212682249	0.9332191780821919	0.8544520547945206	0.6237373737373737	0.9888888888888889	0.7738095238095237	0.9186602870813397	0.8617218236519324	0.9535714285714286	0.867086038961039	0.8010752688172043	0.7741228070175439	0.825268817204301	0.8730769230769231	0.9398496240601504	0.921875	0.9448717948717948	0.9583333333333334	0.9782608695652174	0.674074074074074	0.8985507246376812	0.8934771825396826	0.9332386363636362	0.9750000000000001	1.0	0.85	0.8776737967914439	0.9765625	0.9811827956989247	0.8890977443609023	0.7706349206349207	0.9862068965517241	0.9814814814814815	0.6354166666666666	0.5551724137931034	0.7031249999999999	0.8810876623376623	0.8295454545454545	0.8645833333333333	0.9640000000000001	0.8203551912568305	0.9083204930662558	0.796	0.654040404040404	0.9470000000000001	0.872093023255814	0.8388888888888889	0.8877551020408163	0.9874999999999999	0.7739316239316238	0.9888888888888889	0.9226190476190477	0.9849624060150376	0.8591008771929823	0.9642857142857143	0.9039634146341464	0.8727678571428571	0.9307692307692308	0.74375	0.8576923076923076	0.8999999999999999	0.993103448275862	0.8452380952380953	0.9070034443168771	0.9364365971107544	0.8273809523809523	0.9294871794871795	0.944767441860465	0.98125	0.96875	0.8364002300172514	0.9788499669530734	1.0	0.8933463796477495	0.8307997356245869	1.0	0.8186111111111111	0.9640000000000001	0.8762230919765166	0.9498069498069498
BIOCONCEPTVEC-FASTTEXT	0.8482758620689655	0.859375	0.8726495726495727	0.6305555555555555	0.8794992175273865	0.9209653647752396	0.810344827586207	0.9962264150943396	0.8117615467239527	0.8399830220713073	0.6609649122807016	0.6869005847953216	0.6483770665857728	0.9204545454545454	0.95	1.0	0.9375	0.7835365853658537	0.99375	0.9583333333333334	0.7598039215686275	0.9433962264150944	0.8591111111111112	0.8428604489701458	0.8578767123287672	0.9726027397260274	0.7601010101010102	0.9777777777777777	0.8095238095238095	0.9247740563530037	0.816593381161768	0.9928571428571429	0.8898133116883117	0.5295698924731183	0.7361111111111112	0.6155913978494624	0.8423076923076924	0.9830827067669172	0.934375	0.9123931623931624	0.9702380952380952	1.0	0.9037037037037038	0.9396135265700483	0.8735119047619048	0.9261363636363636	0.7375	0.953125	0.95	0.8435828877005347	0.9734375	0.825268817204301	0.9849624060150376	0.8165079365079365	0.9551724137931035	0.9851851851851853	0.640625	0.6620689655172414	0.8062500000000001	0.8451704545454546	0.9431818181818181	0.8151041666666667	0.8280000000000001	0.7657103825136612	0.8667180277349769	0.8320000000000001	0.5277777777777779	0.889	0.8938953488372093	0.9416666666666665	0.9183673469387754	0.8875	0.8538461538461538	0.8975308641975308	0.9285714285714286	0.9699248120300752	0.8621162280701754	0.9821428571428572	0.9283536585365855	0.9196428571428572	0.893491124260355	0.7875	0.7817307692307692	0.956	0.896551724137931	0.8611111111111112	0.9512055109070034	0.868940609951846	0.7202380952380952	0.9758852258852259	0.8837209302325582	0.9906887755102041	0.9874999999999999	0.753737780333525	0.9649702577660277	1.0	0.9045988258317025	0.8754130865829478	0.8928571428571428	0.8423232323232324	1.0	0.9706457925636007	0.9922779922779923
BIOCONCEPTVEC-CBOW	0.8724137931034484	0.7864583333333334	0.8004273504273504	0.5944444444444444	0.7276995305164319	0.9283345615327929	0.6793103448275862	0.9433962264150944	0.8678839957035447	0.8123938879456707	0.7114035087719298	0.6656140350877192	0.6564917336569089	0.8707386363636364	0.925	1.0	0.890625	0.8292682926829268	1.0	0.9464285714285715	0.7735294117647058	0.9528301886792454	0.8251111111111111	0.8028234205045128	0.9246575342465753	0.9777397260273972	0.6969696969696969	0.9777777777777777	0.7738095238095238	0.9415204678362573	0.8470261513538533	0.9214285714285715	0.8875811688311688	0.7043010752688172	0.7214912280701755	0.5672043010752689	0.926923076923077	0.9793233082706767	0.8296875	0.9461538461538461	0.8809523809523809	0.9891304347826088	0.9111111111111112	0.9842995169082126	0.8705357142857143	0.8139204545454546	0.81875	0.9635416666666667	0.75625	0.8074866310160428	0.9359375	0.8306451612903225	0.9736842105263158	0.8161904761904762	0.9344827586206896	0.9888888888888888	0.8489583333333334	0.7793103448275863	0.809375	0.8569399350649352	0.9488636363636364	0.8411458333333333	0.8400000000000001	0.9426229508196722	0.8466872110939907	0.716	0.5833333333333333	0.8900000000000001	0.8357558139534883	0.9333333333333333	0.8755102040816326	0.7875000000000001	0.8243589743589744	0.8419753086419753	0.8809523809523809	0.9210526315789473	0.8188048245614036	0.9821428571428572	0.9390243902439025	0.9382440476190477	0.9118343195266272	0.875	0.7913461538461539	0.94	0.9724137931034482	0.9107142857142858	0.9804822043628014	0.8401284109149277	0.7678571428571428	0.942002442002442	0.8633720930232557	0.9769132653061225	0.9624999999999999	0.7752300172512938	0.9725710508922669	0.9650537634408602	0.9158512720156555	0.85261070720423	0.8273809523809524	0.7942929292929293	0.968	0.8811154598825832	0.9710424710424711
BIOCONCEPTVEC-SKIP-GRAM	0.9517241379310345	0.84375	0.8641025641025641	0.7638888888888888	0.812206572769953	0.9283345615327929	0.8275862068965518	0.9839622641509435	0.8407626208378087	0.8106960950764007	0.668859649122807	0.6679532163742691	0.6466707113605339	0.890625	0.85625	0.99375	0.9583333333333333	0.7378048780487805	0.98125	0.8452380952380952	0.8029411764705882	0.8877358490566037	0.8015555555555555	0.7970377227493636	0.9023972602739726	0.9383561643835616	0.6717171717171717	0.9571428571428572	0.8392857142857143	0.8965975544922913	0.7603563989817171	0.9892857142857143	0.8758116883116884	0.7043010752688172	0.7843567251461989	0.6612903225806451	0.8115384615384615	0.9736842105263158	0.9312499999999999	0.9132478632478632	0.9583333333333334	0.9130434782608696	0.8	0.9227053140096618	0.8665674603174603	0.8068181818181818	0.675	0.9661458333333334	0.8875	0.8633021390374331	0.9375	0.8655913978494624	0.9962406015037594	0.8253968253968254	0.9758620689655172	1.0	0.6197916666666667	0.7275862068965517	0.765625	0.8530844155844156	0.9488636363636365	0.8151041666666666	0.8840000000000001	0.7636612021857924	0.8297380585516179	0.852	0.6035353535353535	0.893	0.8037790697674418	0.8777777777777778	0.9285714285714285	0.825	0.8538461538461538	0.8790123456790122	0.9166666666666666	0.9718045112781956	0.8138706140350878	0.9702380952380952	0.9222560975609757	0.8902529761904762	0.8526627218934911	0.75625	0.8528846153846155	0.964	0.903448275862069	0.8134920634920635	0.965556831228473	0.8267255216693419	0.7857142857142858	0.9258241758241759	0.8604651162790697	0.9883928571428572	1.0	0.7288671650373779	0.9358889623265035	0.9731182795698925	0.9070450097847358	0.8093192333113021	0.9107142857142858	0.8357575757575757	0.976	0.9383561643835616	0.9652509652509652
GENEPT-ADA	0.7172413793103449	0.578125	0.8888888888888888	0.7472222222222222	0.758998435054773	0.8671702284450995	0.7862068965517242	0.9575471698113208	0.7900107411385606	0.7190152801358234	0.6603508771929826	0.6404093567251463	0.646556954345518	0.9133522727272727	0.7687499999999999	1.0	0.7604166666666666	0.8353658536585367	0.9249999999999999	0.6904761904761905	0.8215686274509804	0.9556603773584906	0.8237222222222222	0.8452904420273085	0.8373287671232876	0.8544520547945206	0.6994949494949495	0.9809523809523809	0.75	0.8766613503455609	0.8463318676232353	0.8821428571428571	0.7855113636363636	0.5887096774193548	0.702485380116959	0.739247311827957	0.6923076923076923	0.8026315789473685	0.8234375	0.9299145299145299	1.0	0.9402173913043479	0.7037037037037037	0.858695652173913	0.8609871031746033	0.8934659090909091	0.9624999999999999	0.9895833333333334	0.88125	0.84725935828877	0.875	0.9623655913978494	0.9360902255639099	0.7693650793650794	0.903448275862069	0.9629629629629629	0.6822916666666667	0.503448275862069	0.5140625	0.8149350649350648	0.6988636363636362	0.7838541666666667	0.972	0.9098360655737704	0.8983050847457626	0.756	0.6237373737373737	0.864	0.7906976744186047	0.6777777777777778	0.8734693877551021	0.975	0.7025641025641026	0.9209876543209876	0.8273809523809523	0.9454887218045112	0.7626096491228069	0.988095238095238	0.9054878048780488	0.769345238095238	0.8402366863905324	0.64375	0.7432692307692307	0.788	0.9827586206896551	0.7420634920634921	0.809414466130884	0.935553772070626	0.738095238095238	0.9249084249084248	0.8575581395348837	0.960076530612245	0.8687499999999999	0.7898936170212766	0.9048248512888301	0.9623655913978494	0.8478473581213307	0.8377395902181097	1.0	0.753510101010101	0.936	0.8933463796477495	0.8243243243243242
MUT2VEC	0.6689655172413793	0.7395833333333333	0.7461538461538462	0.5194444444444444	0.8341158059467919	0.9093588798820929	0.7620689655172413	0.8952830188679245	0.7959183673469388	0.8098471986417657	0.6380701754385965	0.6466081871345029	0.6385181252843926	0.7159090909090908	0.8812500000000001	0.99375	0.84375	0.774390243902439	0.70625	0.7142857142857144	0.6676470588235294	0.9188679245283019	0.7365555555555556	0.7276093496875723	0.8767123287671232	0.7842465753424658	0.7474747474747474	0.8761904761904762	0.43452380952380953	0.7939925571504518	0.8067576949780143	0.7857142857142858	0.8094561688311689	0.8225806451612903	0.777046783625731	0.6666666666666667	0.8346153846153846	0.8120300751879699	0.834375	0.8141025641025641	0.9821428571428571	0.907608695652174	0.8444444444444444	0.9879227053140096	0.7513640873015872	0.8338068181818181	0.89375	0.9739583333333334	0.7062499999999999	0.8235294117647058	0.703125	0.8467741935483871	0.9210526315789473	0.7876190476190477	0.8586206896551725	0.9888888888888889	0.6458333333333334	0.7344827586206897	0.6671875	0.7911931818181818	0.8352272727272727	0.8307291666666666	0.8960000000000001	0.8579234972677596	0.7573189522342065	0.756	0.5808080808080808	0.865	0.7311046511627907	0.9	0.9428571428571428	0.9624999999999999	0.6247863247863248	0.7814814814814814	0.7440476190476191	0.9530075187969925	0.659265350877193	0.988095238095238	0.9603658536585367	0.7857142857142857	0.7952662721893492	0.9624999999999999	0.7403846153846154	0.98	0.8793103448275863	0.7896825396825395	0.8392652123995408	0.7800160513643659	0.6964285714285714	0.8015873015873016	0.8968023255813954	0.948469387755102	0.90625	0.675531914893617	0.887309980171844	0.8091397849462365	0.8796477495107632	0.7184401850627892	0.75	0.7577272727272728	0.856	0.9285714285714286	0.8648648648648649
MASHUP	0.6517241379310346	0.8229166666666666	0.7927350427350427	0.525	0.6197183098591549	0.8043478260869565	0.8	0.9830188679245283	0.7247583243823845	0.9702886247877759	0.6483333333333333	0.645204678362573	0.6564158956468983	0.6960227272727273	1.0	1.0	0.8802083333333334	0.9268292682926829	1.0	0.7857142857142857	0.5372549019607844	0.9141509433962264	0.8177777777777778	0.841356167553807	0.928082191780822	0.7945205479452055	1.0	0.780952380952381	0.4107142857142857	0.8219032429558745	0.6397824577644063	0.5785714285714286	0.8145292207792207	0.9086021505376343	0.9948830409356725	0.7016129032258064	0.7	0.8533834586466166	0.7515624999999999	0.8564102564102565	0.8214285714285714	0.6304347826086957	0.7370370370370369	0.7983091787439612	0.8582589285714286	0.7542613636363636	0.74375	0.7760416666666667	0.84375	0.8165106951871658	0.78125	0.8817204301075269	0.9454887218045113	0.7285714285714286	0.9275862068965518	0.9555555555555555	0.8958333333333334	0.7448275862068965	0.659375	0.7049512987012987	0.34090909090909094	0.8177083333333334	0.84	0.8688524590163934	0.7596302003081664	0.5640000000000001	0.3308080808080808	0.8240000000000001	0.7877906976744186	0.8472222222222222	0.8714285714285714	0.90625	0.6371794871794871	0.634567901234568	0.8452380952380951	0.7575187969924811	0.7025767543859648	0.8511904761904762	0.7225609756097562	0.8028273809523809	0.678698224852071	0.7625	0.6817307692307691	0.9039999999999999	1.0	0.6091269841269841	0.8805970149253731	0.758908507223114	0.49404761904761907	0.8043345543345544	0.7863372093023255	0.9345663265306123	0.9562499999999999	0.7093875790684302	0.8456708526107072	0.6451612903225806	0.7759295499021527	0.8086582947785856	0.7678571428571429	0.661489898989899	0.988	0.8272994129158513	0.9324324324324325
SCGPT-HUMAN	0.693103448275862	0.8125	0.6333333333333333	0.6944444444444444	0.7136150234741785	0.6409358879882093	0.6241379310344827	0.8716981132075472	0.8606337271750806	0.8357385398981323	0.6653508771929825	0.6045614035087719	0.5832322159866525	0.8125	0.825	0.9125000000000001	0.8645833333333333	0.8460365853658536	0.7625	0.5059523809523809	0.6754901960784314	0.8613207547169811	0.7672222222222222	0.7186993751446424	0.9332191780821918	0.8595890410958904	0.6919191919191919	0.8476190476190476	0.6130952380952381	0.7977139819245083	0.6372367507521408	0.6107142857142857	0.752435064935065	0.553763440860215	0.7426900584795321	0.6586021505376344	0.7384615384615385	0.8139097744360902	0.7984375	0.8769230769230769	0.5892857142857142	0.5380434782608696	0.6703703703703704	0.8079710144927537	0.7981150793650793	0.7627840909090909	0.68125	0.84375	0.80625	0.7189171122994652	0.7328125	0.7876344086021506	0.9473684210526316	0.7055555555555556	0.8517241379310345	0.9222222222222223	0.8958333333333334	0.7551724137931035	0.5796875	0.7922077922077921	0.7329545454545454	0.8385416666666667	0.736	0.7370218579234972	0.5978428351309707	0.5720000000000001	0.45707070707070707	0.865	0.6046511627906976	0.7972222222222223	0.5285714285714286	0.84375	0.6098290598290598	0.9246913580246913	0.5297619047619048	0.7650375939849624	0.6817434210526316	0.8452380952380952	0.8612804878048781	0.7261904761904762	0.8514792899408283	0.83125	0.760576923076923	0.644	0.9517241379310344	0.5119047619047619	0.7146957520091849	0.7661316211878009	0.31547619047619047	0.8485958485958486	0.9069767441860466	0.9104591836734693	0.91875	0.6878953421506613	0.8440185062789161	0.8924731182795699	0.7954990215264188	0.6738268341044283	0.5	0.7467676767676767	0.992	0.8825831702544031	0.5810810810810811
NODE2VEC	0.6310344827586207	0.6666666666666667	0.5200854700854701	0.5583333333333333	0.622848200312989	0.848747236551216	0.8068965517241379	0.8462264150943397	0.7000537056928035	0.6893039049235994	0.6136842105263158	0.6183040935672515	0.6275216138328531	0.6448863636363636	0.49375	0.9874999999999999	0.7552083333333334	0.6981707317073171	0.7187500000000001	0.6250000000000001	0.5647058823529412	0.729245283018868	0.653888888888889	0.7088636889608887	0.8253424657534246	0.8664383561643836	0.601010101010101	0.8984126984126983	0.6607142857142857	0.6863370547581072	0.7403378847489006	0.6285714285714286	0.8218344155844156	0.771505376344086	0.6498538011695907	0.6827956989247311	0.8961538461538461	0.6973684210526316	0.8609374999999999	0.8294871794871795	0.9940476190476191	0.8043478260869565	0.8666666666666667	0.7657004830917874	0.7937748015873016	0.7159090909090908	0.64375	0.7213541666666666	0.29375	0.7573529411764706	0.671875	0.8467741935483871	0.8515037593984962	0.6803174603174603	0.8758620689655172	0.9629629629629629	0.6302083333333334	0.8758620689655172	0.7734375	0.6635551948051949	0.5056818181818181	0.8854166666666666	0.8360000000000001	0.7698087431693988	0.6910631741140215	0.488	0.5782828282828283	0.692	0.7311046511627908	0.6611111111111111	0.7938775510204081	0.93125	0.5547008547008547	0.7839506172839505	0.8154761904761905	0.9078947368421053	0.6702302631578947	0.8571428571428572	0.7408536585365854	0.7254464285714286	0.7349112426035502	0.7749999999999999	0.725	0.976	0.9482758620689655	0.8373015873015873	0.6417910447761194	0.6576243980738363	0.8452380952380952	0.757020757020757	0.7819767441860466	0.9121173469387756	0.85	0.6434013801035077	0.8238598810310641	0.7419354838709677	0.7636986301369865	0.7035690680766689	0.9821428571428572	0.6474242424242423	0.772	0.7715264187866928	0.9073359073359073
GF-12L95M	0.7862068965517242	0.4791666666666667	0.6136752136752136	0.6166666666666667	0.6447574334898278	0.6589904200442153	0.6896551724137931	0.8301886792452831	0.8238453276047262	0.8111205432937181	0.6517543859649123	0.6030409356725146	0.5251023813135143	0.75	0.8062499999999999	0.8375000000000001	0.7708333333333334	0.8262195121951219	0.89375	0.6130952380952381	0.5343137254901961	0.8481132075471698	0.7363333333333333	0.6893080305484842	0.9366438356164384	0.5976027397260274	0.8156565656565655	0.8603174603174603	0.7321428571428572	0.7317916002126528	0.6857208979402917	0.625	0.7228084415584416	0.6935483870967741	0.7478070175438597	0.5403225806451613	0.8115384615384615	0.9135338345864661	0.821875	0.820940170940171	0.6428571428571428	0.7336956521739131	0.7037037037037038	0.788647342995169	0.7475198412698413	0.7514204545454546	0.78125	0.7161458333333333	0.6375	0.7052139037433155	0.7640625	0.782258064516129	0.9661654135338344	0.6912698412698413	0.8620689655172414	0.9444444444444444	0.8854166666666667	0.7068965517241379	0.6734374999999999	0.7875405844155844	0.7102272727272727	0.9375	0.8160000000000001	0.680327868852459	0.5793528505392912	0.5800000000000001	0.33080808080808083	0.715	0.6162790697674418	0.7472222222222222	0.6448979591836734	0.8	0.6346153846153847	0.8604938271604938	0.5773809523809524	0.5657894736842105	0.6417214912280702	0.8511904761904762	0.75	0.734375	0.5869822485207101	0.875	0.8567307692307692	0.656	0.8931034482758621	0.49999999999999994	0.7520091848450058	0.7182182985553772	0.3214285714285714	0.8562271062271063	0.8677325581395348	0.8936224489795918	0.8875	0.6965209890741806	0.8417052214144084	0.6774193548387097	0.7720156555772995	0.6113681427627231	0.6726190476190476	0.7160606060606061	0.944	0.8889432485322896	0.7104247104247103
GF-12L30M	0.7241379310344828	0.71875	0.6346153846153846	0.7583333333333333	0.5774647887323944	0.6420412675018423	0.4724137931034483	0.779245283018868	0.7661117078410311	0.9053480475382003	0.5925438596491227	0.6051461988304093	0.5322690732595177	0.796875	0.7562500000000001	0.93125	0.5625	0.850609756097561	0.875	0.7083333333333334	0.4843137254901961	0.8811320754716981	0.7445555555555555	0.6939365887526036	0.8784246575342466	0.6438356164383562	0.8737373737373737	0.9047619047619047	0.6011904761904763	0.638755980861244	0.7052765563526961	0.47500000000000003	0.757913961038961	0.7123655913978495	0.7690058479532164	0.489247311827957	0.6923076923076923	0.6973684210526315	0.9078125	0.8632478632478632	0.6011904761904762	0.5380434782608696	0.8222222222222223	0.748792270531401	0.7415674603174602	0.7713068181818182	0.6	0.78125	0.39999999999999997	0.7199197860962566	0.7578125000000001	0.8387096774193549	0.8872180451127819	0.6630158730158731	0.8551724137931035	0.9148148148148147	0.9635416666666666	0.6482758620689655	0.5453125	0.815137987012987	0.4431818181818182	0.7864583333333333	0.86	0.6372950819672132	0.6879815100154083	0.584	0.49242424242424243	0.788	0.626453488372093	0.5638888888888889	0.5612244897959184	0.9750000000000001	0.6055555555555556	0.8740740740740741	0.6190476190476191	0.49436090225563906	0.6189692982456141	0.9404761904761906	0.8567073170731707	0.7916666666666666	0.6668639053254437	0.7375	0.8846153846153846	0.712	0.8862068965517241	0.6369047619047619	0.6498277841561424	0.7247993579454253	0.5773809523809523	0.815018315018315	0.748546511627907	0.909438775510204	0.9625	0.6531052328924669	0.8017184401850628	0.782258064516129	0.7142857142857143	0.7580964970257766	0.7142857142857143	0.6707070707070707	0.9480000000000001	0.8918786692759295	0.6872586872586872
GF-20L95M	0.6068965517241379	0.5364583333333334	0.5764957264957264	0.55	0.5758998435054773	0.6731761238025056	0.6241379310344828	0.8037735849056604	0.8630504833512352	0.7775891341256366	0.6247368421052631	0.6394736842105263	0.5201349916578188	0.7542613636363635	0.7	0.83125	0.7916666666666667	0.7957317073170732	0.78125	0.7321428571428572	0.47352941176470587	0.8924528301886793	0.700111111111111	0.6964822957648693	0.9143835616438356	0.6678082191780822	0.8282828282828282	0.9253968253968253	0.16071428571428573	0.7963849016480595	0.643253876417496	0.44285714285714284	0.7585227272727272	0.6317204301075269	0.7185672514619883	0.4946236559139785	0.9076923076923076	0.8233082706766918	0.6953125	0.9294871794871794	0.6964285714285714	0.7391304347826086	0.837037037037037	0.7681159420289855	0.734375	0.6661931818181818	0.7625	0.7057291666666666	0.6187499999999999	0.7202540106951872	0.803125	0.8252688172043011	0.9718045112781954	0.689047619047619	0.8	0.9	0.6302083333333334	0.7724137931034483	0.6265625	0.7607548701298702	0.5454545454545454	0.9583333333333333	0.7000000000000001	0.8306010928961749	0.7103235747303545	0.628	0.5126262626262625	0.7960000000000002	0.6017441860465117	0.6611111111111111	0.7428571428571429	0.85625	0.6217948717948718	0.828395061728395	0.5892857142857143	0.6954887218045113	0.5603070175438597	0.9464285714285714	0.8125000000000001	0.7767857142857143	0.44260355029585796	0.86875	0.8182692307692307	0.6519999999999999	0.9137931034482758	0.4722222222222222	0.7141216991963261	0.7942215088282504	0.39880952380952384	0.8702686202686203	0.8372093023255814	0.8771683673469387	0.93125	0.6779758481886142	0.9206873760740251	0.7983870967741935	0.735812133072407	0.5366820885657634	0.6011904761904763	0.7348484848484849	0.964	0.8346379647749511	0.7374517374517374
